2026-02-05 14:46:49 | INFO    | posterior_gen | ================================================================================
2026-02-05 14:46:49 | INFO    | posterior_gen | Logger initialized
2026-02-05 14:46:49 | INFO    | posterior_gen | log_file=./posterior_gen.log
2026-02-05 14:46:49 | INFO    | posterior_gen | level=INFO
2026-02-05 14:46:49 | INFO    | posterior_gen | ================================================================================
2026-02-05 14:46:49 | INFO    | posterior_gen | Step 1: Training Prior Model (Random Forest) on Chip A...
2026-02-05 14:46:51 | INFO    | posterior_gen | Prior Model Trained.
2026-02-05 14:46:51 | INFO    | posterior_gen | Step 2: Training Posterior Model (GP) on Chip B...
2026-02-05 14:46:53 | INFO    | posterior_gen | Step 3: Selecting Best Parameters for ALL Litmus Tests...
2026-02-05 14:48:59 | INFO    | posterior_gen | Step 4: Saving 891 configurations to ./posterior_best_params.json...
2026-02-05 14:48:59 | INFO    | posterior_gen | Done. You can now use this JSON to run tests on Chip B.
2026-02-05 15:15:04 | INFO    | posterior_gen | ================================================================================
2026-02-05 15:15:04 | INFO    | posterior_gen | Logger initialized
2026-02-05 15:15:04 | INFO    | posterior_gen | log_file=./posterior_gen.log
2026-02-05 15:15:04 | INFO    | posterior_gen | level=INFO
2026-02-05 15:15:04 | INFO    | posterior_gen | ================================================================================
2026-02-05 15:15:04 | INFO    | posterior_gen | Step 1: Training Prior Model (Random Forest) on Chip A...
2026-02-05 15:15:06 | INFO    | posterior_gen | Prior Model Trained.
2026-02-05 15:15:06 | INFO    | posterior_gen | Step 2: Training Posterior Model (GP) on Chip B...
2026-02-05 15:15:09 | INFO    | posterior_gen | Step 3: Selecting Best Parameters for ALL Litmus Tests...
2026-02-05 15:17:17 | INFO    | posterior_gen | Step 4: Saving 891 configurations to ./posterior_best_params.json...
2026-02-05 15:17:17 | INFO    | posterior_gen | Done. You can now use this JSON to run tests on Chip B.
